bank,top_keywords
CBE,"['good', 'app', 'best', 'cbe', 'nice', 'bank', 'like', 'application', 'update', 'good app', 'ነው', 'excellent', 'apps', 'service', 'best app', 'love', 'use', 'bad', 'account', 'useful']"
BOA,"['app', 'good', 'boa', 'bank', 'working', 'work', 'worst', 'best', 'mobile', 'doesn', 'great', 'use', 'like', 'bad', 'banking', 'application', 'update', 'time', 'doesn work', 'fix']"
Dashen,"['app', 'dashen', 'best', 'bank', 'super', 'good', 'banking', 'fast', 'easy', 'amazing', 'super app', 'use', 'dashen bank', 'application', 'user', 'slow', 'friendly', 'easy use', 'like', 'working']"
